"Obs","Price","SqFt","BedRooms","Baths","Garage","Zip"
185,112900,2120,4,2,2,9
186,113900,1200,3,2,2,6
187,114500,1580,3,3,2,5
188,114500,1408,3,2,2,9
189,114900,1225,3,2,2,9
190,114900,1225,3,2,2,9
191,114900,1450,3,2.5,2,9
192,114900,1630,3,1.5,2,4
193,115000,1712,4,2,2,5
194,115000,1355,3,2,2,9
195,115000,1126,3,1,2,5
196,115900,1329,3,2,2,6
197,116000,1420,3,2,2,9
198,116900,1429,3,2,2,9
199,116900,1344,3,2,2,6
200,117000,1312,3,2,2,9
201,117500,1510,3,2,2,9
202,117900,1518,3,2.5,2,9
203,117900,1464,3,2,2,6
204,118000,1280,3,2,2,9
205,118900,1500,4,2,2,6
206,119700,1466,3,2,2,9
207,119800,1285,3,2,2,6
208,119900,1816,4,3,2,5
209,119900,1344,3,2,2,6
210,119000,1414,3,2,2,9
211,119900,1804,3,2,2,6
212,119900,1301,3,2,2,9
213,119900,1200,3,2,2,5
214,119900,1525,3,2.5,2,9
215,119900,1530,3,2,2,6
216,119900,1250,3,2,2,5
217,119900,1454,3,2,2,5
218,119900,1250,3,2,2,5
219,119900,1454,3,2,2,5
220,120500,1427,3,2,2,6
221,121500,1419,3,2,2,9
222,121900,1364,3,2,2,5
223,122500,2053,4,2.5,2,5
224,122500,1420,3,2,2,9
225,122900,1445,3,2,2,9
226,122900,1632,3,2.5,2,9
227,122900,1526,3,2.5,2,9
228,123500,2156,4,2.5,2,9
229,124900,1692,5,3,2,6
230,124900,1746,3,2.5,2,5
231,124900,1620,3,2.5,2,4
232,124900,1400,3,2,2,9
233,124900,1476,3,1.5,2,6
234,124900,1450,3,2,2,6
235,124900,1404,3,2,2,5
236,124900,1516,3,2,2,9
237,124900,1568,3,2.5,2,6
238,124900,1923,3,3,2,4
239,125000,1800,3,2,2,9
240,125000,1800,3,1,2,5
241,125000,1350,3,2,2,9
242,125000,1750,3,2.5,2,9
243,125900,1306,3,2,2,6
244,125900,1728,4,2.5,2,9
245,126000,1477,3,2.5,2,6
246,126000,1408,3,2,2,6
247,127000,1898,3,2,2,5
248,127000,1080,3,2.5,2,5
249,128900,1606,3,2,2,5
250,128900,1410,3,2,2,9
251,129000,2090,3,1.5,2,4
252,129500,1456,3,2.5,2,9
253,129900,1462,3,2,2,6
254,129900,1882,3,2,2,9
255,129900,1519,3,2,2,9
256,129900,2014,4,1.5,2,6
257,129900,1668,3,2,2,6
258,129900,1737,2,2.5,2,9
259,129900,1940,3,2,2,9
260,129900,1765,3,2.5,2,6
261,129900,1375,3,2,2,9
262,130000,1950,3,2.5,2,5
263,131900,1472,3,2,2,6
264,131900,1508,3,2,2,6
265,131900,1864,3,2,2,6
266,132000,1635,3,2,2,9
267,134900,2166,4,2,2,5
268,134900,2065,4,2.5,2,6
269,134900,1920,4,2.5,2,9
270,134900,2550,5,3,2,5
271,135000,1635,3,2.5,2,9
272,135000,1865,4,2.5,2,9
273,135000,1202,3,1.5,2,5
274,136500,2297,5,2,2,5
275,137000,1400,3,2.5,2,5
276,137500,1437,3,2,2,5
277,137900,2107,3,2.5,2,6
278,138800,1659,3,2,2,9
279,139500,1865,3,2,2,5
280,139900,1456,2,1.5,2,5
281,139900,1577,3,2,2,6
282,139900,1616,3,2,2,6
283,139900,1512,3,2,2,9
284,139900,1593,3,2,2,5
285,139900,1536,3,1.5,2,5
286,139900,2479,3,3,2,5
287,139900,1550,3,2,2,5
288,139900,1842,3,2.5,2,5
289,139900,1920,3,2.5,2,9
290,142000,1552,3,2,2,6
291,142500,1686,3,2,2,6
292,142500,1930,3,2.5,2,5
293,142900,1738,3,2,2,5
294,143000,2005,4,2.5,2,5
295,143900,2310,4,2.5,2,5
296,145000,1573,3,2,2,9
297,148900,1800,3,2,2,9
298,148900,1740,3,2,2,6
299,148900,2234,3,2,2,5
300,149000,1800,4,2.5,2,6
301,149500,1996,4,1.5,2,9
302,149900,1700,3,3,2,9
